Experiment,Task Name,Task Type,Qwen3-0.6B (base-bf16),Qwen3-0.6B (base-4bit),Qwentaur-0.6B (bf16),Qwentaur-0.6B (4bit),Llama-3.2-1B (base-bf16),Llama-3.2-1B (base-4bit),Centaur-1B (bf16),Centaur-1B (4bit),Qwen3-1.7B (base-bf16),Qwen3-1.7B (base-4bit),Qwentaur-1.7B (bf16),Qwentaur-1.7B (4bit),Llama-3.2-3B (base-bf16),Llama-3.2-3B (base-4bit),Centaur-3B (bf16),Centaur-3B (4bit),Qwen3-4B (base-bf16),Qwen3-4B (base-4bit),Qwentaur-4B (bf16),Qwentaur-4B (4bit),Qwen3-8B (base-bf16),Qwen3-8B (base-4bit),Qwentaur-8B (bf16),Qwentaur-8B (4bit),Llama-3.1-8B (base-bf16),Llama-3.1-8B (base-4bit),Centaur-8B (bf16),Centaur-8B (4bit),Qwen3-14B (base-bf16),Qwen3-14B (base-4bit),Qwentaur-14B (bf16),Qwentaur-14B (4bit),Llama-70B (4bit-reported),Centaur-70B (4bit-reproduced),Centaur-70B (4bit-reported),Cognitive model (reported)
bahrami2020four,Drifting four-armed bandit,Multi-armed bandits,0.9778,0.9812,0.7321,0.7594,0.9528,0.9548,0.7338,0.7529,0.9469,0.9565,0.7233,0.7498,0.9400,0.9469,0.7151,0.7227,0.9161,0.9297,0.7109,0.7206,0.9137,0.9329,0.7112,0.733776330947876,0.8995,0.9087,0.7091,0.7191,0.9096,0.9219,0.7071,0.7357,0.8810,0.7089,0.7029,0.9043
feng2021dynamics,Horizon task,Multi-armed bandits,0.4672,0.4749,0.2276,0.2526,0.8057,0.8499,0.2591,0.2826,0.4319,0.4626,0.2251,0.2354,0.6699,0.6742,0.2447,0.2557,0.3919,0.4034,0.2210,0.2250,0.3582,0.3816,0.2211,0.2237369865179062,0.4388,0.4358,0.2181,0.2220,0.3449,0.3530,0.2192,0.2249,0.5237,0.3994,0.4032,0.3595
sadeghiyeh2020temporal,Horizon task,Multi-armed bandits,0.6683,0.7108,0.5856,0.5972,0.6725,0.6993,0.5932,0.6049,0.7172,0.7382,0.5836,0.5980,0.6813,0.6902,0.5825,0.5876,0.6630,0.6688,0.5809,0.5956,0.6453,0.6547,0.5798,0.6021968722343445,0.6574,0.6685,0.5804,0.5855,0.6521,0.6608,0.5761,0.5987,0.5237,0.5824,0.4032,0.3595
somerville2017charting,Horizon task,Multi-armed bandits,0.5394,0.5334,0.3424,0.3576,0.5868,0.6050,0.3508,0.3644,0.5470,0.5696,0.3437,0.3585,0.5747,0.5890,0.3444,0.3577,0.5267,0.5189,0.3398,0.3457,0.4650,0.4811,0.3367,0.34796127676963806,0.5062,0.5144,0.3368,0.3438,0.4929,0.5004,0.3349,0.3439,0.5237,0.3533,0.4032,0.3595
waltz2020differential,Horizon task,Multi-armed bandits,0.3311,0.3326,0.1539,0.1675,0.3673,0.3677,0.1592,0.1609,0.3300,0.3284,0.1540,0.1599,0.3703,0.3614,0.1558,0.1642,0.3120,0.3017,0.1550,0.1604,0.2682,0.2889,0.1508,0.15352776646614075,0.3005,0.3207,0.1445,0.1495,0.2410,0.2662,0.1497,0.1586,0.5237,0.1460,0.4032,0.3595
wilson2014humans,Horizon task,Multi-armed bandits,0.5743,0.5901,0.4591,0.4749,0.6426,0.6729,0.4709,0.4816,0.5824,0.6158,0.4584,0.4756,0.6197,0.6327,0.4642,0.4734,0.5636,0.5754,0.4521,0.4594,0.5304,0.5391,0.4533,0.46889346837997437,0.5549,0.5602,0.4515,0.4570,0.5369,0.5464,0.4468,0.4569,0.5237,0.4821,0.4032,0.3595
steingroever2015data,Iowa gambling task,Multi-armed bandits,1.0722,1.1078,0.9298,0.9582,1.0996,1.1157,0.9350,0.9528,1.0556,1.0795,0.9306,0.9471,1.0558,1.0599,0.9186,0.9281,1.0665,1.0773,0.9125,0.9232,1.0667,1.0806,0.9115,0.9454838037490845,1.0372,1.0361,0.9077,0.9174,1.0657,1.0669,0.9112,0.9430,0.9880,0.9054,0.8890,1.1555
lefebvre2017behavioural,Probabilistic instrumental learning,Multi-armed bandits,0.6152,0.6481,0.4978,0.5124,0.6180,0.6607,0.5084,0.5148,0.6045,0.6149,0.5022,0.5077,0.5820,0.5857,0.4969,0.4902,0.5742,0.5781,0.4878,0.4864,0.5852,0.5791,0.4888,0.5089718103408813,0.5641,0.5675,0.4913,0.5039,0.5557,0.5478,0.4931,0.5064,0.5382,0.4982,0.4937,0.5047
wu2018generalisation,Spatially correlated multi-armed bandit,Multi-armed bandits,2.6128,2.6030,2.0057,2.0794,2.7564,2.7759,2.1562,2.2029,2.5522,2.5403,1.9594,1.9884,2.6361,2.6346,1.9961,1.9805,2.5042,2.5063,1.9339,1.9709,2.4393,2.4831,1.8664,1.9061793088912964,2.5798,2.6079,1.9261,1.9384,2.4581,2.4861,1.8640,1.8680,2.4479,1.8195,1.8320,2.7635
schulz2020finding,Structured bandit,Multi-armed bandits,0.9156,0.9129,0.6687,0.6950,0.9413,0.9442,0.6691,0.6833,0.9197,0.8984,0.6641,0.6857,0.8912,0.8937,0.6574,0.6661,0.8766,0.8791,0.6527,0.6597,0.8710,0.8846,0.6507,0.6596015691757202,0.8483,0.8537,0.6463,0.6528,0.8319,0.8384,0.6417,0.6465,0.8114,0.6444,0.6410,1.0530
gershman2018deconstructing,Two-armed bandit,Multi-armed bandits,0.4261,0.4142,0.2982,0.3018,0.4294,0.4368,0.2953,0.3068,0.4145,0.4345,0.3033,0.3189,0.4345,0.4303,0.2934,0.2975,0.4032,0.4121,0.2932,0.3013,0.3937,0.4000,0.2923,0.30244025588035583,0.3973,0.3992,0.2935,0.2957,0.3928,0.3981,0.2916,0.2945,0.3829,0.2980,0.2963,0.4187
wise2019acomputational,Aversive learning,Supervised learning,5.1998,5.2870,4.7070,4.8466,5.6575,5.7187,4.5790,4.7305,5.0649,5.1317,4.5515,4.6127,5.5238,5.5541,4.7974,4.8617,4.9508,4.9694,4.2742,4.3569,4.8942,4.9495,4.2358,4.329038143157959,5.2535,5.3003,3.6626,3.7593,4.7453,4.7694,3.8106,3.8710,5.1066,4.1327,4.0730,
levering2020revisiting,Medin categorization,Supervised learning,0.6048,0.6344,0.5093,0.5301,0.7120,0.7450,0.5152,0.5284,0.6030,0.6079,0.5076,0.5233,0.6006,0.6062,0.5041,0.5098,0.6036,0.6100,0.5005,0.5054,0.5911,0.6397,0.4988,0.5277301073074341,0.5743,0.5802,0.4972,0.5030,0.5511,0.5524,0.4969,0.5067,0.5772,0.4993,0.4967,0.5313
collsiöö2023MCPL,Multiple-cue judgment,Supervised learning,1.4594,1.5723,1.1700,1.2247,1.6911,1.8321,1.1739,1.2298,1.3815,1.4464,1.1613,1.1896,1.4985,1.5342,1.1480,1.1692,1.2849,1.3535,1.1420,1.1665,1.3012,1.3189,1.1408,1.166472315788269,1.3160,1.3198,1.1249,1.1385,1.2621,1.2658,1.1311,1.1390,1.2818,1.1357,1.1240,1.9157
badham2017deficits,Shepard categorization,Supervised learning,0.6347,0.6565,0.5482,0.5647,0.6739,0.6927,0.5593,0.5743,0.6071,0.6213,0.5479,0.5642,0.6239,0.6420,0.5424,0.5535,0.5933,0.6149,0.5384,0.5472,0.5850,0.5957,0.5331,0.5486629605293274,0.5958,0.5999,0.5315,0.5395,0.5938,0.6116,0.5284,0.5428,0.5818,0.5397,0.5394,0.6108
speekenbrink2008learning,Weather prediction task,Supervised learning,0.6218,0.6159,0.5468,0.5443,0.6213,0.6611,0.5543,0.5536,0.5947,0.6303,0.5635,0.5718,0.5896,0.5917,0.5403,0.5343,0.6117,0.6372,0.5422,0.5511,0.5829,0.5910,0.5453,0.5467512011528015,0.5836,0.5798,0.5584,0.5511,0.5843,0.5982,0.5512,0.5443,0.5749,0.5592,0.5514,0.6267
Mean,,,0.9887,1.0332,0.6926,0.7897,1.1369,1.1714,0.6998,0.8067,0.9441,0.9699,0.6781,0.7606,1.0199,1.0319,0.6827,0.7322,0.9040,0.9191,0.6605,0.7041,0.8916,0.9101,0.6571,0.6998,0.9157,0.9267,0.6441,0.6727,0.8663,0.8789,0.6410,0.6708,0.8771,0.7113,0.6877,0.6851
